Date,Time,Focus,Activity,
Thurs,11 AM,2,transition,
Thurs,12 PM,3,active work,
Thurs,1 PM,4,active work
Thurs,2 PM,3,passive work,
Thurs,3 PM,2,passive work,
Thurs,4 PM,2.5,passive work,
Thurs,5 PM,2,transition,
Thurs,6 PM,3,transition,
Thurs,7 PM,3,active leisure,
Thurs,8 PM,5,active leisure,
Thurs,9 PM,2.5,transition,
Thurs,10 PM,2.5,passive leisure,
Thurs,11 PM,3,passive leisure,
Fri,12 AM,3,passive leisure,
Fri,11 AM,3,transition,
Fri,12 PM,5,active work,
Fri,1 PM,3.5,transition,
Fri,2 PM,4,active leisure,
Fri,3 PM,3,passive leisure,
Fri,4 PM,2,passive leisure,
Fri,5 PM,2,transition,
Fri,6 PM,4.5,active leisure,
Fri,7 PM,4.5,active leisure,
Fri,8 PM,4.5,active leisure,
Fri,9 PM,2.5,passive leisure,
Fri,10 PM,2.5,passive leisure,
Fri,11 PM,4,active leisure,
Sat,12 AM,3.5,passive leisure,
Sat,11 AM,3,active leisure,
Sat,12 PM,2,passive leisure,
Sat,1 PM,2.5,transition,
Sat,2 PM,4,active leisure,
Sat,3 PM,2,passive leisure,
Sat,4 PM,4,active leisure,
Sat,5 PM,3,active leisure,
Sat,6 PM,2,passive leisure,
Sat,7 PM,4,active leisure,
Sat,8 PM,4,active leisure,
Sat,9 PM,4,passive leisure,
Sat,10 PM,4,passive leisure,
Sat,11 PM,3,passive leisure,
Sun,12 AM,4,passive leisure,
Sun,12 PM,2.5,transition,
Sun,1 PM,4,active leisure,
Sun,2 PM,3,transition,
Sun,3 PM,4,active work,
Sun,4 PM,2.5,active work,
Sun,5 PM,3,active work,
Sun,6 PM,5,active leisure,
Sun,7 PM,4,active leisure,
Sun,8 PM,3.5,passive leisure,
Sun,9 PM,2,transition,
Sun,10 PM,2.5,passsive leisure,
Sun,11 PM,4,active leisure,
